web address,number
 http://www.yrama-widya.co.id,1
 http://www.myfilm.gr,1
 http://www.northernsun.com,2
 http://www.terranea.com,1
 http://www.coretennis.net,1
 http://digitalcommons.usu.edu,1
 http://www.babycenter.ca,1
 http://whc.unesco.org,1
 http://www.fierceonlinevideo.com,1
 http://tolkiengateway.net,1
 http://z94.com,2
 http://amt.allergist.ru,1
 http://www.collectspace.com,1
 http://www.thewrestlingtalk.com,1
 www.causes.com,2
 http://vera-farmiga.com,1
 http://www.lancome-usa.com,1
 http://www.epcrugby.com,1
 http://www.refinery29.com,1
 http://www.interment.net,1
 http://economix.blogs.nytimes.com,1
 http://www.soundsnap.com,1
 http://imageshack.com,1
 www.aspasios.com,1
 http://www.ultimate-guitar.com,1
 http://dna-explained.com,1
 http://hoathuongthichthanhtu.blogspot.com,1
 http://illinoisreview.typepad.com,1
 http://cartelera.hola.com,1
 http://helendining.blogspot.com,1
 www.genomeweb.com,1
 http://www.turkishairlines.com,1
 http://steepster.com,1
 www.fanfiction.net,4
 http://iheartorganizing.blogspot.com,1
 clinicaltrials.gov,3
 http://toynewsi.com,1
 http://www.exodustravels.com,2
 http://www.democraticunderground.com,2
 http://www.smartusainsider.com,1
 http://www.moschino.com,1
 http://dspace.ou.nl,1
 http://www.swimoutlet.com,2
 http://www.compositiontoday.com,1
 http://www.8a.nu,1
 kentucky.rivals.com,1
 http://www.thenxtstep.com,1
 http://www.albawaba.com,1
 http://www.ralphlauren.com,1
 http://www.dispatch.com,2
 http://www.wvbr.com,1
 http://www.cyberciti.biz,1
 http://www.hatclub.com,1
 http://www.gaiam.com,1
 http://bikingtolive.com,1
 http://www.mcadcafe.com,1
 http://www.musicnotes.com,4
 www.rockymountainatvmc.com,1
 http://www.australiancattledogs.net,1
 http://www.carolinaguesthouse.co.uk,1
 http://www.prosportsblogging.com,1
 http://icl.cs.utk.edu,1
 http://spaces.covers.com,2
 http://blog.yanidel.com,1
 http://www.basingstokegazette.co.uk,1
 http://www.paulstravelpictures.com,1
 www.net-a-porter.com,1
 http://www.naplesnews.com,1
 http://www.aemmeviaggi.it,1
 http://www.gomocs.com,2
 http://www.touchustudio.com,1
 http://www.expedia.com,1
 http://www.batwarehouse.com,1
 http://webseriesnetwork.com,1
 gstreamer.ti.com,2
 http://www.testfreaks.com,3
 http://www.hayneedle.com,1
 http://newhampshirestateparks.reserveamerica.com,1
 http://www.morewords.com,3
 http://www.autopatcher.net,1
 http://www.crosswordsolver.org,1
 http://www.chan4chan.org,1
 http://www.bootbarn.com,1
 http://www.zerogeography.net,1
 http://www.dawn.com,1
 http://www.reel-time.com,1
 davidmoolten.wordpress.com,1
 http://6abc.com,1
 http://toronto.ctvnews.ca,1
 http://jurist.org,1
 http://www.tentofnations.org,1
 http://vietnamnet.vn,1
 http://www.swavellehospitality.com,1
